Mã đơn hàng,Ngày đặt hàng,SKU sản phẩm,SKU phân loại hàng,Tên sản phẩm,Tên phân loại hàng,Giá gốc,Giá ưu đãi,Số lượng,Tổng giá bán (sản phẩm),Trạng Thái Đơn Hàng,Số lượng sản phẩm được hoàn trả
240819MGY8YVTM,2024-08-19 01:37,,,Magnet Cô Gái Áo Dài Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cô Gái Cầm Quạt,29000.00,14500.00,1,14500.00,Hoàn thành,0
240819MGY8YVTM,2024-08-19 01:37,,,Magnet Cô Gái Áo Dài Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cô Gái Hoa Sen,29000.00,29000.00,1,29000.00,Hoàn thành,0
240819MGY8YVTM,2024-08-19 01:37,,,Magnet Cô Gái Áo Dài Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cô Gái Áo Dài,29000.00,29000.00,1,29000.00,Hoàn thành,0
240819MGY8YVTM,2024-08-19 01:37,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Vietnam 01,35000.00,33000.00,1,33000.00,Hoàn thành,0
240819MGY8YVTM,2024-08-19 01:37,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Xích Lô 01,35000.00,33000.00,1,33000.00,Hoàn thành,0
240819MGY8YVTM,2024-08-19 01:37,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Dâu Rể 01,35000.00,33000.00,1,33000.00,Hoàn thành,0
240819MGY8YVTM,2024-08-19 01:37,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Dâu Rể 03,35000.00,33000.00,1,33000.00,Hoàn thành,0
240819MGY8YVTM,2024-08-19 01:37,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Xe Đạp 02,35000.00,33000.00,1,33000.00,Hoàn thành,0
240819MGY8YVTM,2024-08-19 01:37,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Xe Đạp 03,35000.00,33000.00,1,33000.00,Hoàn thành,0
240819MGY8YVTM,2024-08-19 01:37,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Xích Lô 02,35000.00,33000.00,1,33000.00,Hoàn thành,0
240819MGY8YVTM,2024-08-19 01:37,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Xích Lô 03,35000.00,33000.00,1,33000.00,Hoàn thành,0
240819MGY8YVTM,2024-08-19 01:37,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Xích Lô 04,35000.00,33000.00,1,33000.00,Hoàn thành,0
240819MGY8YVTM,2024-08-19 01:37,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Vietnam 02,35000.00,33000.00,1,33000.00,Hoàn thành,0
240820RGTTXB02,2024-08-20 15:45,,,"Móc Khoá Nón Lá, Lưu Niệm Việt Nam - Kích Thước 5cm",,11500.00,5750.00,1,5750.00,Hoàn thành,0
240821TFJXDSSV,2024-08-21 10:28,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bánh Xèo,35000.00,17500.00,1,17500.00,Hoàn thành,0
240821TSFP2THU,2024-08-21 13:25,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cà Phê 02,35000.00,17500.00,1,17500.00,Đã hủy,0
240821UA5YKF50,2024-08-21 18:24,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Vietnam 02,35000.00,35000.00,4,140000.00,Đã hủy,0
240821UEK71GQJ,2024-08-21 19:43,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cà Phê 01,35000.00,17500.00,1,17500.00,Đã hủy,0
