Mã đơn hàng,Ngày đặt hàng,SKU sản phẩm,SKU phân loại hàng,Tên sản phẩm,Tên phân loại hàng,Giá gốc,Giá ưu đãi,Số lượng,Tổng giá bán (sản phẩm),Trạng Thái Đơn Hàng,Số lượng sản phẩm được hoàn trả
250601CBE2B6D7,2025-06-01 04:03,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,SGN 7 Cảnh,35000.00,35000.00,1,35000.00,Hoàn thành,0
250601E8S8MRCG,2025-06-01 22:21,,,Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,Hội An,45000.00,42000.00,2,84000.00,Hoàn thành,0
250602FBPWDB25,2025-06-02 08:46,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Vietnam Đường Phố,55000.00,47000.00,1,47000.00,Hoàn thành,0
250602FBPWDB25,2025-06-02 08:46,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Vietnam Nhiều Cảnh,55000.00,47000.00,1,47000.00,Hoàn thành,0
250602FBPWDB25,2025-06-02 08:46,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Nhà Thờ Đức Bà 02,20000.00,0.00,1,0.00,Hoàn thành,0
250602FDEA90NE,2025-06-02 09:17,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Nhà Thờ Đức Bà 02,20000.00,14000.00,1,14000.00,Hoàn thành,0
250602FDEA90NE,2025-06-02 09:17,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Chợ Bến Thành 01,20000.00,14000.00,1,14000.00,Hoàn thành,0
250602FDEA90NE,2025-06-02 09:17,,,Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,Bến Nhà Rồng 01,45000.00,42000.00,1,42000.00,Hoàn thành,0
250602FDEA90NE,2025-06-02 09:17,,,Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,Dinh Độc Lập,45000.00,42000.00,1,42000.00,Hoàn thành,0
250602FXXGFB9S,2025-06-02 14:30,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Hà Nội - Chùa,35000.00,35000.00,1,35000.00,Hoàn thành,0
250602FXXGFB9S,2025-06-02 14:30,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bia Hơi,35000.00,35000.00,1,35000.00,Hoàn thành,0
250602GDADK655,2025-06-02 18:47,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Phin Cafe,35000.00,35000.00,1,35000.00,Hoàn thành,0
250602GDADK655,2025-06-02 18:47,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Phở,35000.00,35000.00,1,35000.00,Hoàn thành,0
250602GDADK655,2025-06-02 18:47,,,Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,Dinh Độc Lập,45000.00,42000.00,1,42000.00,Hoàn thành,0
250602GDADK655,2025-06-02 18:47,,,Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,Đà Nẵng 01,45000.00,42000.00,1,42000.00,Hoàn thành,0
250602GDADK655,2025-06-02 18:47,,,Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,Vietnam,45000.00,42000.00,1,42000.00,Hoàn thành,0
250602GDADK655,2025-06-02 18:47,,,Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,Chợ Bến Thành 01,45000.00,42000.00,1,42000.00,Hoàn thành,0
250602GDADK655,2025-06-02 18:47,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Nhà Thờ Đức Bà 02,20000.00,0.00,1,0.00,Hoàn thành,0
250602GK052GDN,2025-06-02 20:29,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Đà Nẵng,55000.00,47000.00,2,94000.00,Hoàn thành,0
250602GK052GDN,2025-06-02 20:29,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Hội An,55000.00,47000.00,2,94000.00,Hoàn thành,0
250602GK052GDN,2025-06-02 20:29,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Nhà Thờ Đức Bà 02,20000.00,0.00,1,0.00,Hoàn thành,0
250603K834E8XF,2025-06-03 21:52,,,"Móc Khoá Nón Lá, Lưu Niệm Việt Nam - Kích Thước 5cm",Móc Khóa Nón Lá,12000.00,10500.00,1,10500.00,Hoàn thành,0
250604KMK9E108,2025-06-04 01:35,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Nhà Thờ SGN,35000.00,35000.00,1,35000.00,Hoàn thành,0
250604KMK9E108,2025-06-04 01:35,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Phin Cafe,35000.00,35000.00,1,35000.00,Hoàn thành,0
250604KMK9E108,2025-06-04 01:35,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,SGN 7 Cảnh,35000.00,35000.00,1,35000.00,Hoàn thành,0
250604KMK9E108,2025-06-04 01:35,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Xe Bánh Mì,35000.00,35000.00,1,35000.00,Hoàn thành,0
250604KMK9E108,2025-06-04 01:35,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Hội An 02,35000.00,35000.00,1,35000.00,Hoàn thành,0
250604KMK9E108,2025-06-04 01:35,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bia Hơi,35000.00,35000.00,1,35000.00,Hoàn thành,0
250604KMK9E108,2025-06-04 01:35,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Nhà Thờ Đức Bà 02,20000.00,0.00,1,0.00,Hoàn thành,0
250604KRW0974E,2025-06-04 02:52,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Nhà Thờ Đức Bà 01,20000.00,14000.00,1,14000.00,Hoàn thành,0
250604KRW0974E,2025-06-04 02:52,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,SGN Cafe,55000.00,48000.00,1,48000.00,Hoàn thành,0
250604KRW0974E,2025-06-04 02:52,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,SGN Xe Bánh Mì,55000.00,48000.00,1,48000.00,Hoàn thành,0
250604KRW0974E,2025-06-04 02:52,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Chợ Bến Thành 01,20000.00,0.00,1,0.00,Hoàn thành,0
250604MGW66DGD,2025-06-04 10:02,,,Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,Dinh Độc Lập,45000.00,42000.00,1,42000.00,Hoàn thành,0
250604MGW66DGD,2025-06-04 10:02,,,Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,Nhà Thờ Đức Bà 01,45000.00,42000.00,1,42000.00,Hoàn thành,0
250604MGW66DGD,2025-06-04 10:02,,,Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,Lăng Hồ Chủ Tịch,45000.00,42000.00,1,42000.00,Hoàn thành,0
250604MGW66DGD,2025-06-04 10:02,,,Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,Vietnam,45000.00,42000.00,1,42000.00,Hoàn thành,0
250604MGW66DGD,2025-06-04 10:02,,,Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,Chợ Bến Thành 01,45000.00,42000.00,1,42000.00,Hoàn thành,0
250604MGW66DGD,2025-06-04 10:02,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Nhà Thờ Đức Bà 02,20000.00,0.00,1,0.00,Hoàn thành,0
250604MQ12PUN3,2025-06-04 11:52,,,Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,Dinh Độc Lập,45000.00,42000.00,1,42000.00,Hoàn thành,0
250604MQ12PUN3,2025-06-04 11:52,,,Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,Chùa Một Cột,45000.00,42000.00,1,42000.00,Hoàn thành,0
250604NKRUYX9J,2025-06-04 20:26,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,SGN Xe Bánh Mì,55000.00,48000.00,2,96000.00,Đã hủy,0
250604NKRUYX9J,2025-06-04 20:26,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Vietnam Đường Phố,55000.00,48000.00,2,96000.00,Đã hủy,0
250604NKRUYX9J,2025-06-04 20:26,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Vietnam Nhiều Cảnh,55000.00,48000.00,2,96000.00,Đã hủy,0
250604NKRUYX9J,2025-06-04 20:26,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Nhà Thờ Đức Bà 02,20000.00,0.00,1,0.00,Đã hủy,0
250604NKYJK5HC,2025-06-04 20:30,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,SGN Xe Bánh Mì,55000.00,48000.00,2,96000.00,Hoàn thành,0
