Mã đơn hàng,Ngày đặt hàng,SKU sản phẩm,SKU phân loại hàng,Tên sản phẩm,Tên phân loại hàng,Giá gốc,Giá ưu đãi,Số lượng,Tổng giá bán (sản phẩm),Trạng Thái Đơn Hàng,Số lượng sản phẩm được hoàn trả
25020121ET180B,2025-02-01 07:51,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Đà Nẵng 01,35000.00,28000.00,2,56000.00,Hoàn thành,0
25020121ET180B,2025-02-01 07:51,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Đà Nẵng 02,35000.00,28000.00,2,56000.00,Hoàn thành,0
25020121ET180B,2025-02-01 07:51,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Đà Nẵng,55000.00,45000.00,3,135000.00,Hoàn thành,0
25020128AFJ546,2025-02-01 09:54,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Vietnam 01,55000.00,45000.00,1,45000.00,Hoàn thành,0
2502012DMYF33K,2025-02-01 11:29,,,Mèo chiêu tài - Mèo năng lượng - Mèo ngoắc tay xe hơi,Mèo chiêu tài vàng,85000.00,55000.00,2,110000.00,Hoàn thành,0
2502012G502GW5,2025-02-01 12:14,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Vietnam 01,55000.00,45000.00,4,180000.00,Đã hủy,0
2502012G502GW5,2025-02-01 12:14,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Vietnam 02,55000.00,45000.00,5,225000.00,Đã hủy,0
25020242151UVB,2025-02-02 03:07,,,Magnet Cô Gái Áo Dài Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cô Gái Cầm Hoa,32000.00,30000.00,1,30000.00,Đã hủy,0
2502024NCPXVJF,2025-02-02 08:53,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D  - Quà Tặng Lưu Niệm Việt Nam,Sài Gòn 02,55000.00,48000.00,1,48000.00,Đã hủy,0
2502024NCPXVJF,2025-02-02 08:53,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Vietnam 02,55000.00,50000.00,1,50000.00,Đã hủy,0
2502025BESCB62,2025-02-02 15:28,,,Magnet Cô Gái Áo Dài Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cô Gái Cầm Hoa,32000.00,30000.00,2,60000.00,Đã hủy,0
2502025C8J960G,2025-02-02 15:42,,,Magnet Cô Gái Áo Dài Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cô Gái Cầm Hoa,32000.00,30000.00,2,60000.00,Đã hủy,0
2502025CA0381C,2025-02-02 15:43,,,Magnet Cô Gái Áo Dài Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cô Gái Cầm Hoa,32000.00,30000.00,2,60000.00,Hoàn thành,0
2502025DP3G9Q3,2025-02-02 16:08,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cà Phê 02,35000.00,30000.00,1,30000.00,Đã hủy,0
2502038EEK8V14,2025-02-03 21:00,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Saigon 01,35000.00,30000.00,1,30000.00,Hoàn thành,0
2502038EEK8V14,2025-02-03 21:00,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Saigon 02,35000.00,30000.00,1,30000.00,Hoàn thành,0
2502038EEK8V14,2025-02-03 21:00,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Saigon 03,35000.00,30000.00,1,30000.00,Hoàn thành,0
2502038EEK8V14,2025-02-03 21:00,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Saigon 04,35000.00,30000.00,1,30000.00,Hoàn thành,0
