Mã đơn hàng,Ngày đặt hàng,SKU sản phẩm,SKU phân loại hàng,Tên sản phẩm,Tên phân loại hàng,Giá gốc,Giá ưu đãi,Số lượng,Tổng giá bán (sản phẩm),Trạng Thái Đơn Hàng,Số lượng sản phẩm được hoàn trả
2504015K1D75AD,2025-04-01 14:37,,,"Móc Khoá Nón Lá, Lưu Niệm Việt Nam - Kích Thước 5cm",Móc Khóa Nón Lá,12000.00,10000.00,1,10000.00,Hoàn thành,0
2504026Q4YYHVE,2025-04-02 01:23,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cà Phê 02,35000.00,32000.00,5,160000.00,Hoàn thành,0
2504026Q4YYHVE,2025-04-02 01:23,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Phở,35000.00,32000.00,5,160000.00,Hoàn thành,0
2504028JMWFMBB,2025-04-02 19:08,,,Magnet Cô Gái Áo Dài Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cô Gái Cầm Hoa,32000.00,32000.00,1,32000.00,Hoàn thành,0
250403A9GJDGVB,2025-04-03 11:30,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cà Phê 02,35000.00,32000.00,1,32000.00,Hoàn thành,0
250403A9GJDGVB,2025-04-03 11:30,,,Magnet set 3 hít gỗ Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D  - Quà Tặng Lưu Niệm Việt Nam,Set 3 Sài Gòn,80000.00,60000.00,1,60000.00,Hoàn thành,0
250403A9GJDGVB,2025-04-03 11:30,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,SGN Xe Bánh Mì,55000.00,50000.00,1,50000.00,Hoàn thành,0
250403AXDEQDXV,2025-04-03 17:44,,,"Móc Khoá Nón Lá, Lưu Niệm Việt Nam - Kích Thước 5cm",Móc Khóa Nón Lá,12000.00,10000.00,1,10000.00,Hoàn thành,0
250405EA13RTB8,2025-04-05 01:50,,,Magnet Cô Gái Áo Dài Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cô Gái Cầm Hoa,32000.00,32000.00,3,96000.00,Hoàn thành,0
250405FNSPM481,2025-04-05 14:53,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Phở,35000.00,32000.00,1,32000.00,Đã hủy,0
250405FNSPM481,2025-04-05 14:53,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bún Đậu,35000.00,32000.00,1,32000.00,Đã hủy,0
250405FNSPM481,2025-04-05 14:53,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cà Phê 03,35000.00,32000.00,1,32000.00,Đã hủy,0
250405FNSPM481,2025-04-05 14:53,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Gỏi Cuốn,35000.00,32000.00,1,32000.00,Đã hủy,0
250405FNSPM481,2025-04-05 14:53,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bánh Tét,35000.00,32000.00,1,32000.00,Đã hủy,0
250405FNSPM481,2025-04-05 14:53,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bánh Xèo,35000.00,32000.00,1,32000.00,Đã hủy,0
250405FNSPM481,2025-04-05 14:53,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bánh Mì,35000.00,32000.00,1,32000.00,Đã hủy,0
250405FNTSVB6Q,2025-04-05 14:54,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Phở,35000.00,32000.00,1,32000.00,Hoàn thành,0
250405FNTSVB6Q,2025-04-05 14:54,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bún Đậu,35000.00,32000.00,1,32000.00,Hoàn thành,0
250405FNTSVB6Q,2025-04-05 14:54,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cà Phê 03,35000.00,32000.00,1,32000.00,Hoàn thành,0
250405FNTSVB6Q,2025-04-05 14:54,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Gỏi Cuốn,35000.00,32000.00,1,32000.00,Hoàn thành,0
250405FNTSVB6Q,2025-04-05 14:54,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bánh Tét,35000.00,32000.00,1,32000.00,Hoàn thành,0
250405FNTSVB6Q,2025-04-05 14:54,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bánh Xèo,35000.00,32000.00,1,32000.00,Hoàn thành,0
250405FNTSVB6Q,2025-04-05 14:54,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bánh Mì,35000.00,32000.00,1,32000.00,Hoàn thành,0
250406HKV01YQ5,2025-04-06 09:24,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Cà Phê 02,35000.00,32000.00,6,192000.00,Hoàn thành,0
250406HKV01YQ5,2025-04-06 09:24,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Phở,35000.00,32000.00,3,96000.00,Hoàn thành,0
250406HKV01YQ5,2025-04-06 09:24,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bún Đậu,35000.00,32000.00,3,96000.00,Hoàn thành,0
250406HKV01YQ5,2025-04-06 09:24,,,Magnet Món Ăn Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Gỏi Cuốn,35000.00,32000.00,3,96000.00,Hoàn thành,0
