Mã đơn hàng,Ngày đặt hàng,SKU sản phẩm,SKU phân loại hàng,Tên sản phẩm,Tên phân loại hàng,Giá gốc,Giá ưu đãi,Số lượng,Tổng giá bán (sản phẩm),Trạng Thái Đơn Hàng,Số lượng sản phẩm được hoàn trả
250801N1C1A0EW,2025-08-01 11:50,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Hội An - 35,35000.00,35000.00,1,35000.00,Đã hủy,0
250801N9NXWBWD,2025-08-01 14:19,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Nhà Thờ,35000.00,35000.00,1,35000.00,Hoàn thành,0
250801N9NXWBWD,2025-08-01 14:19,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Hà Nội Xích Lô Phố,35000.00,35000.00,1,35000.00,Hoàn thành,0
250801N9NXWBWD,2025-08-01 14:19,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Xích Lô 04,30000.00,22000.00,1,22000.00,Hoàn thành,0
250801N9NXWBWD,2025-08-01 14:19,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Vietnam 01 Xoay,55000.00,53000.00,1,53000.00,Hoàn thành,0
250801N9NXWBWD,2025-08-01 14:19,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Món Ăn,55000.00,53000.00,1,53000.00,Hoàn thành,0
250802QXNXU73M,2025-08-02 15:40,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại - Quà Tặng Lưu Niệm Việt Nam,SGN 4 Cảnh Ngày,35000.00,35000.00,1,35000.00,Hoàn thành,0
250802QXNXU73M,2025-08-02 15:40,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại - Quà Tặng Lưu Niệm Việt Nam,SGN Lanmark 81,35000.00,35000.00,1,35000.00,Hoàn thành,0
250802QXNXU73M,2025-08-02 15:40,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại - Quà Tặng Lưu Niệm Việt Nam,Saigon 14,35000.00,35000.00,1,35000.00,Hoàn thành,0
250802QXNXU73M,2025-08-02 15:40,,,Móc Khoá Lưu Niệm Việt Nam - Móc Khóa Gỗ Handmade - Quà Tặng Lưu Niệm Việt Nam,Chợ Bến Thành 01,20000.00,14000.00,1,14000.00,Hoàn thành,0
250802R8BW3WM5,2025-08-02 18:33,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Saigon,35000.00,34400.00,1,34400.00,Đã hủy,0
250802R8BW3WM5,2025-08-02 18:33,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,SGN Bác Hồ,35000.00,34400.00,4,137600.00,Đã hủy,0
250802R8BW3WM5,2025-08-02 18:33,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Saigon,35000.00,35000.00,3,105000.00,Đã hủy,0
250803RUCF3AES,2025-08-03 00:14,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D  - Quà Tặng Lưu Niệm Việt Nam,Hội An,52000.00,50000.00,1,50000.00,Hoàn thành,0
