Mã đơn hàng,Ngày đặt hàng,SKU sản phẩm,SKU phân loại hàng,Tên sản phẩm,Tên phân loại hàng,Giá gốc,Giá ưu đãi,Số lượng,Tổng giá bán (sản phẩm),Trạng Thái Đơn Hàng,Số lượng sản phẩm được hoàn trả
250501Q73U211E,2025-05-01 18:25,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Xe Bánh Mì,32000.00,30000.00,4,120000.00,Hoàn thành,0
250501Q73U211E,2025-05-01 18:25,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Xích Lô,32000.00,32000.00,2,64000.00,Hoàn thành,0
250501Q73U211E,2025-05-01 18:25,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Bia Hơi,32000.00,30000.00,3,90000.00,Hoàn thành,0
250501QHK5V6SU,2025-05-01 21:32,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D  - Quà Tặng Lưu Niệm Việt Nam,Sài Gòn 02,55000.00,45000.00,1,45000.00,Đã hủy,0
250501QHK5V6SU,2025-05-01 21:32,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D  - Quà Tặng Lưu Niệm Việt Nam,Vietnam 9.5,55000.00,45000.00,1,45000.00,Đã hủy,0
250501QKVMKWV0,2025-05-01 22:13,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Xe Bánh Mì,32000.00,30000.00,1,30000.00,Hoàn thành,0
250501QKVMKWV0,2025-05-01 22:13,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại - Quà Tặng Lưu Niệm Việt Nam,SGN HCM Bến Thành 01,35000.00,30000.00,1,30000.00,Hoàn thành,0
250501QKVMKWV0,2025-05-01 22:13,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh gỗ 3D  - Quà Tặng Lưu Niệm Việt Nam,Vietnam 9.4,55000.00,45000.00,1,45000.00,Hoàn thành,0
250501QPCGGY3A,2025-05-01 22:58,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,ĐN - H.An Ngẫu Nhiên,32000.00,30000.00,1,30000.00,Hoàn thành,0
250501QPCGGY3A,2025-05-01 22:58,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Đà Nẵng - 45,32000.00,30000.00,1,30000.00,Hoàn thành,0
250502RYU75XP0,2025-05-02 11:20,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Đà Nẵng,32000.00,30000.00,1,30000.00,Hoàn thành,0
250502RYU75XP0,2025-05-02 11:20,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Đà Nẵng - 45,32000.00,30000.00,1,30000.00,Hoàn thành,0
250502T5S0ENW9,2025-05-02 22:39,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,SGN Xe Bánh Mì,55000.00,48000.00,3,144000.00,Đã hủy,0
250503UBY3QY08,2025-05-03 10:02,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Saigon,32000.00,30000.00,1,30000.00,Hoàn thành,0
250503UBY3QY08,2025-05-03 10:02,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,SGN Cảnh,32000.00,30000.00,1,30000.00,Hoàn thành,0
250503UBY3QY08,2025-05-03 10:02,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Xe Bánh Mì,32000.00,30000.00,1,30000.00,Hoàn thành,0
250503UBY3QY08,2025-05-03 10:02,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Chợ Bến Thành,35000.00,20000.00,1,20000.00,Hoàn thành,0
250503UBY3QY08,2025-05-03 10:02,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Nhà Thờ Đức Bà,35000.00,20000.00,1,20000.00,Hoàn thành,0
250503UBY3QY08,2025-05-03 10:02,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Xích Lô 04,35000.00,20000.00,1,20000.00,Hoàn thành,0
250503UBY3QY08,2025-05-03 10:02,,,"Nam Châm Nón Lá, Lưu Niệm Việt Nam - Kích Thước 5cm",12000,12000.00,10500.00,1,10500.00,Hoàn thành,0
250503UMWGKN82,2025-05-03 12:42,,,Sổ Gỗ A6 Handmade - Quà Tặng Lưu Niệm Việt Nam,Nhà Thờ Đức Bà 02,45000.00,42000.00,1,42000.00,Hoàn thành,0
250504VR4Y2C0M,2025-05-03 23:13,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Vietnam Đồng Quê 23,55000.00,43000.00,1,43000.00,Hoàn thành,0
250504VR4Y2C0M,2025-05-03 23:13,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,HN Hồ Gươm,55000.00,43000.00,1,43000.00,Hoàn thành,0
250504VR4Y2C0M,2025-05-03 23:13,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Hội An,55000.00,43000.00,1,43000.00,Hoàn thành,0
250504VR4Y2C0M,2025-05-03 23:13,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Vietnam 3 Cảnh,55000.00,43000.00,1,43000.00,Hoàn thành,0
250504VR4Y2C0M,2025-05-03 23:13,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Vietnam Đường Phố,55000.00,43000.00,1,43000.00,Hoàn thành,0
250504VR4Y2C0M,2025-05-03 23:13,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Vietnam Đồng Quê 24,55000.00,43000.00,1,43000.00,Hoàn thành,0
250504VR4Y2C0M,2025-05-03 23:13,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,SGN 3 Cảnh,55000.00,43000.00,1,43000.00,Hoàn thành,0
2505040P2G0MGU,2025-05-04 09:08,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Chợ Bến Thành,35000.00,20000.00,1,20000.00,Hoàn thành,0
2505040P2G0MGU,2025-05-04 09:08,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Dâu Rể 01,35000.00,20000.00,1,20000.00,Hoàn thành,0
2505040P2G0MGU,2025-05-04 09:08,,,"Nam Châm Tủ Lạnh, Magnet Handmade, Quà Tặng Lưu Niệm Việt Nam, Hít Tủ Lạnh",Xích Lô 04,35000.00,20000.00,1,20000.00,Hoàn thành,0
2505052835VYD4,2025-05-05 00:03,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh quạt gỗ 3D hình quạt  - Quà Tặng Lưu Niệm Việt Nam,Vietnam Đường Phố,55000.00,48000.00,5,240000.00,Hoàn thành,0
25050529RJUY6E,2025-05-05 00:33,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Phin Cafe,32000.00,30000.00,1,30000.00,Hoàn thành,0
25050529RJUY6E,2025-05-05 00:33,,,Magnet Việt Nam - Nam Châm Tủ Lạnh Handmade 3D - Quà Tặng Lưu Niệm Việt Nam,Xe Bánh Mì,32000.00,30000.00,1,30000.00,Hoàn thành,0
